unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HJK;janeiro;2021;I;0 a 5;9,3%;0;0;0,00
HJK;janeiro;2021;II;6 a 10;55,9%;2;0;1,12
HJK;janeiro;2021;III;11 a 5 ;73,1%;2;0;1,46
HJK;janeiro;2021;IV;> 15;100,0%;0;0;0,00
HJK;fevereiro;2021;I;0 a 5;9,3%;1;0;0,09
HJK;fevereiro;2021;II;6 a 10;55,9%;1;0;0,56
HJK;fevereiro;2021;III;11 a 5 ;73,1%;0;0;0,00
HJK;fevereiro;2021;IV;> 15;100,0%;0;0;0,00
HJK;março;2021;I;0 a 5;9,3%;0;0;0,00
HJK;março;2021;II;6 a 10;55,9%;0;0;0,00
HJK;março;2021;III;11 a 5 ;73,1%;0;0;0,00
HJK;março;2021;IV;> 15;100,0%;0;0;0,00
HJK;abril;2021;I;0 a 5;9,3%;1;0;0,09
HJK;abril;2021;II;6 a 10;55,9%;1;0;0,56
HJK;abril;2021;III;11 a 5 ;73,1%;0;0;0,00
HJK;abril;2021;IV;> 15;100,0%;0;0;0,00
HJK;maio;2021;I;0 a 5;9,3%;2;0;0,19
HJK;maio;2021;II;6 a 10;55,9%;0;0;0,00
HJK;maio;2021;III;11 a 5 ;73,1%;1;1;0,73
HJK;maio;2021;IV;> 15;100,0%;0;0;0,00
HJK;junho;2021;I;0 a 5;9,3%;0;0;0,00
HJK;junho;2021;II;6 a 10;55,9%;0;0;0,00
HJK;junho;2021;III;11 a 5 ;73,1%;1;0;0,73
HJK;junho;2021;IV;> 15;100,0%;0;0;0,00
HJK;julho;2021;I;0 a 5;9,3%;1;0;0,09
HJK;julho;2021;II;6 a 10;55,9%;0;0;0,00
HJK;julho;2021;III;11 a 5 ;73,1%;0;0;0,00
HJK;julho;2021;IV;> 15;100,0%;1;1;1,00
HJK;agosto;2021;I;0 a 5;9,3%;1;0;0,09
HJK;agosto;2021;II;6 a 10;55,9%;1;0;0,56
HJK;agosto;2021;III;11 a 5 ;73,1%;0;0;0,00
HJK;agosto;2021;IV;> 15;100,0%;0;0;0,00
HJK;setembro;2021;I;0 a 5;9,3%;0;0;0,00
HJK;setembro;2021;II;6 a 10;55,9%;0;0;0,00
HJK;setembro;2021;III;11 a 5 ;73,1%;0;0;0,00
HJK;setembro;2021;IV;> 15;100,0%;0;0;0,00
HJK;outubro;2021;I;0 a 5;9,3%;0;0;0,00
HJK;outubro;2021;II;6 a 10;55,9%;0;0;0,00
HJK;outubro;2021;III;11 a 5 ;73,1%;1;1;0,73
HJK;outubro;2021;IV;> 15;100,0%;0;0;0,00
HJK;novembro;2021;I;0 a 5;9,3%;0;0;0,00
HJK;novembro;2021;II;6 a 10;55,9%;0;0;0,00
HJK;novembro;2021;III;11 a 5 ;73,1%;0;0;0,00
HJK;novembro;2021;IV;> 15;100,0%;0;0;0,00
HJK;dezembro;2021;I;0 a 5;9,3%;0;0;0,00
HJK;dezembro;2021;II;6 a 10;55,9%;0;0;0,00
HJK;dezembro;2021;III;11 a 5 ;73,1%;1;0;0,73
HJK;dezembro;2021;IV;> 15;100,0%;0;0;0,00
