unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HRJP;janeiro;2021;I;0 a 5;9,3%;1;0;0,09
HRJP;janeiro;2021;II;6 a 10;55,9%;1;0;0,56
HRJP;janeiro;2021;III;11 a 5 ;73,1%;1;1;0,73
HRJP;janeiro;2021;IV;> 15;100,0%;0;0;0,00
HRJP;fevereiro;2021;I;0 a 5;9,3%;0;0;0,00
HRJP;fevereiro;2021;II;6 a 10;55,9%;1;0;0,56
HRJP;fevereiro;2021;III;11 a 5 ;73,1%;0;0;0,00
HRJP;fevereiro;2021;IV;> 15;100,0%;2;2;2,00
HRJP;março;2021;I;0 a 5;9,3%;0;0;0,00
HRJP;março;2021;II;6 a 10;55,9%;1;0;0,56
HRJP;março;2021;III;11 a 5 ;73,1%;1;0;0,73
HRJP;março;2021;IV;> 15;100,0%;0;0;0,00
HRJP;abril;2021;I;0 a 5;9,3%;3;0;0,28
HRJP;abril;2021;II;6 a 10;55,9%;0;0;0,00
HRJP;abril;2021;III;11 a 5 ;73,1%;0;0;0,00
HRJP;abril;2021;IV;> 15;100,0%;0;0;0,00
HRJP;maio;2021;I;0 a 5;9,3%;3;1;0,28
HRJP;maio;2021;II;6 a 10;55,9%;1;0;0,56
HRJP;maio;2021;III;11 a 5 ;73,1%;1;0;0,73
HRJP;maio;2021;IV;> 15;100,0%;0;0;0,00
HRJP;junho;2021;I;0 a 5;9,3%;1;1;0,09
HRJP;junho;2021;II;6 a 10;55,9%;3;0;1,68
HRJP;junho;2021;III;11 a 5 ;73,1%;0;0;0,00
HRJP;junho;2021;IV;> 15;100,0%;0;0;0,00
HRJP;julho;2021;I;0 a 5;9,3%;2;0;0,19
HRJP;julho;2021;II;6 a 10;55,9%;1;0;0,56
HRJP;julho;2021;III;11 a 5 ;73,1%;0;0;0,00
HRJP;julho;2021;IV;> 15;100,0%;1;1;1,00
HRJP;agosto;2021;I;0 a 5;9,3%;1;0;0,09
HRJP;agosto;2021;II;6 a 10;55,9%;3;0;1,68
HRJP;agosto;2021;III;11 a 5 ;73,1%;1;0;0,73
HRJP;agosto;2021;IV;> 15;100,0%;0;0;0,00
HRJP;setembro;2021;I;0 a 5;9,3%;1;0;0,09
HRJP;setembro;2021;II;6 a 10;55,9%;0;0;0,00
HRJP;setembro;2021;III;11 a 5 ;73,1%;0;0;0,00
HRJP;setembro;2021;IV;> 15;100,0%;0;0;0,00
HRJP;outubro;2021;I;0 a 5;9,3%;1;0;0,09
HRJP;outubro;2021;II;6 a 10;55,9%;0;0;0,00
HRJP;outubro;2021;III;11 a 5 ;73,1%;0;0;0,00
HRJP;outubro;2021;IV;> 15;100,0%;0;0;0,00
HRJP;novembro;2021;I;0 a 5;9,3%;2;0;0,19
HRJP;novembro;2021;II;6 a 10;55,9%;4;1;2,24
HRJP;novembro;2021;III;11 a 5 ;73,1%;0;0;0,00
HRJP;novembro;2021;IV;> 15;100,0%;0;0;0,00
HRJP;dezembro;2021;I;0 a 5;9,3%;0;0;0,00
HRJP;dezembro;2021;II;6 a 10;55,9%;1;0;0,56
HRJP;dezembro;2021;III;11 a 5 ;73,1%;2;1;1,46
HRJP;dezembro;2021;IV;> 15;100,0%;0;0;0,00
