unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
MOV;janeiro;;I;0 a 5;9,3%;4;0;0,37
MOV;janeiro;;II;6 a 10;55,9%;0;0;0,00
MOV;janeiro;;III;11 a 5 ;73,1%;1;0;0,73
MOV;janeiro;;IV;> 15;100,0%;0;0;0,00
MOV;fevereiro;;I;0 a 5;9,3%;3;0;0,28
MOV;fevereiro;;II;6 a 10;55,9%;1;0;0,56
MOV;fevereiro;;III;11 a 5 ;73,1%;1;0;0,73
MOV;fevereiro;;IV;> 15;100,0%;1;1;1,00
MOV;março;;I;0 a 5;9,3%;0;0;0,00
MOV;março;;II;6 a 10;55,9%;1;0;0,56
MOV;março;;III;11 a 5 ;73,1%;1;0;0,73
MOV;março;;IV;> 15;100,0%;0;0;0,00
MOV;abril;;I;0 a 5;9,3%;0;0;0,00
MOV;abril;;II;6 a 10;55,9%;2;0;1,12
MOV;abril;;III;11 a 5 ;73,1%;2;0;1,46
MOV;abril;;IV;> 15;100,0%;0;0;0,00
MOV;maio;;I;0 a 5;9,3%;0;0;0,00
MOV;maio;;II;6 a 10;55,9%;2;0;1,12
MOV;maio;;III;11 a 5 ;73,1%;1;1;0,73
MOV;maio;;IV;> 15;100,0%;0;0;0,00
MOV;junho;;I;0 a 5;9,3%;1;0;0,09
MOV;junho;;II;6 a 10;55,9%;0;0;0,00
MOV;junho;;III;11 a 5 ;73,1%;0;0;0,00
MOV;junho;;IV;> 15;100,0%;0;0;0,00
MOV;julho;;I;0 a 5;9,3%;0;0;0,00
MOV;julho;;II;6 a 10;55,9%;2;1;1,12
MOV;julho;;III;11 a 5 ;73,1%;3;3;2,19
MOV;julho;;IV;> 15;100,0%;3;3;3,00
MOV;agosto;;I;0 a 5;9,3%;0;0;0,00
MOV;agosto;;II;6 a 10;55,9%;4;1;2,24
MOV;agosto;;III;11 a 5 ;73,1%;1;1;0,73
MOV;agosto;;IV;> 15;100,0%;0;0;0,00
MOV;setembro;;I;0 a 5;9,3%;2;0;0,19
MOV;setembro;;II;6 a 10;55,9%;1;0;0,56
MOV;setembro;;III;11 a 5 ;73,1%;2;1;1,46
MOV;setembro;;IV;> 15;100,0%;0;0;0,00
MOV;outubro;;I;0 a 5;9,3%;3;0;0,28
MOV;outubro;;II;6 a 10;55,9%;2;0;1,12
MOV;outubro;;III;11 a 5 ;73,1%;1;1;0,73
MOV;outubro;;IV;> 15;100,0%;0;0;0,00
MOV;novembro;;I;0 a 5;9,3%;1;0;0,09
MOV;novembro;;II;6 a 10;55,9%;1;0;0,56
MOV;novembro;;III;11 a 5 ;73,1%;4;3;2,92
MOV;novembro;;IV;> 15;100,0%;2;2;2,00
MOV;dezembro;;I;0 a 5;9,3%;1;0;0,09
MOV;dezembro;;II;6 a 10;55,9%;0;0;0,00
MOV;dezembro;;III;11 a 5 ;73,1%;0;0;0,00
MOV;dezembro;;IV;> 15;100,0%;0;0;0,00
