unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HJK;janeiro;2021;I;0 a 5;9,30%;0;0;0
HJK;janeiro;2021;II;6 a 10;55,90%;2;0;1,12
HJK;janeiro;2021;III;11 a 5 ;73,10%;2;0;1,46
HJK;janeiro;2021;IV;> 15;100,00%;0;0;0
HJK;fevereiro;2021;I;0 a 5;9,30%;1;0;0,09
HJK;fevereiro;2021;II;6 a 10;55,90%;1;0;0,56
HJK;fevereiro;2021;III;11 a 5 ;73,10%;0;0;0
HJK;fevereiro;2021;IV;> 15;100,00%;0;0;0
HJK;março;2021;I;0 a 5;9,30%;0;0;0
HJK;março;2021;II;6 a 10;55,90%;0;0;0
HJK;março;2021;III;11 a 5 ;73,10%;0;0;0
HJK;março;2021;IV;> 15;100,00%;0;0;0
HJK;abril;2021;I;0 a 5;9,30%;1;0;0,09
HJK;abril;2021;II;6 a 10;55,90%;1;0;0,56
HJK;abril;2021;III;11 a 5 ;73,10%;0;0;0
HJK;abril;2021;IV;> 15;100,00%;0;0;0
HJK;maio;2021;I;0 a 5;9,30%;2;0;0,19
HJK;maio;2021;II;6 a 10;55,90%;0;0;0
HJK;maio;2021;III;11 a 5 ;73,10%;1;1;0,73
HJK;maio;2021;IV;> 15;100,00%;0;0;0
HJK;junho;2021;I;0 a 5;9,30%;0;0;0
HJK;junho;2021;II;6 a 10;55,90%;0;0;0
HJK;junho;2021;III;11 a 5 ;73,10%;1;0;0,73
HJK;junho;2021;IV;> 15;100,00%;0;0;0
HJK;julho;2021;I;0 a 5;9,30%;1;0;0,09
HJK;julho;2021;II;6 a 10;55,90%;0;0;0
HJK;julho;2021;III;11 a 5 ;73,10%;0;0;0
HJK;julho;2021;IV;> 15;100,00%;1;1;1
HJK;agosto;2021;I;0 a 5;9,30%;1;0;0,09
HJK;agosto;2021;II;6 a 10;55,90%;1;0;0,56
HJK;agosto;2021;III;11 a 5 ;73,10%;0;0;0
